               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.025622,            0.003328,                   0,              0.9414,             0.92717,             0.95591,             0.52041,            0.025021,           0.0021766,                   0,           0.0022358,           0.0022358,           0.0022358
                  93,             0.02676,           0.0033074,                   0,             0.93807,              0.9252,             0.95099,             0.52531,            0.025152,            0.002197,                   0,           0.0021558,           0.0021558,           0.0021558
                  94,            0.026937,           0.0033199,                   0,              0.9506,             0.90945,             0.94268,             0.52463,            0.024984,           0.0021923,                   0,           0.0020782,           0.0020782,           0.0020782
                  95,              0.0269,           0.0032929,                   0,             0.94188,             0.92509,             0.94352,             0.52527,            0.024857,           0.0021768,                   0,           0.0020028,           0.0020028,           0.0020028
                  96,             0.02658,            0.003274,                   0,             0.95277,             0.91336,             0.94761,             0.52546,            0.024807,           0.0021895,                   0,           0.0019299,           0.0019299,           0.0019299
                  97,            0.026879,           0.0032705,                   0,             0.94169,             0.92717,             0.94183,             0.52586,            0.024582,           0.0022147,                   0,           0.0018594,           0.0018594,           0.0018594
                  98,            0.026362,           0.0032377,                   0,             0.93465,             0.92902,             0.94227,              0.5217,            0.024527,           0.0022097,                   0,           0.0017914,           0.0017914,           0.0017914
                  99,            0.026448,           0.0031346,                   0,             0.94199,             0.92701,             0.94534,             0.52573,            0.025013,           0.0022251,                   0,            0.001726,            0.001726,            0.001726
                 100,            0.026709,           0.0032263,                   0,             0.93786,             0.92323,             0.94304,              0.5242,            0.025113,           0.0022005,                   0,           0.0016631,           0.0016631,           0.0016631
                 101,            0.026273,           0.0032351,                   0,             0.94154,             0.92126,             0.94889,             0.52363,            0.024915,            0.002192,                   0,           0.0016029,           0.0016029,           0.0016029
                 102,            0.025994,           0.0033128,                   0,             0.94511,             0.91521,             0.94724,             0.52526,            0.024767,           0.0022023,                   0,           0.0015453,           0.0015453,           0.0015453
                 103,            0.025586,           0.0032735,                   0,              0.9336,             0.91929,             0.94228,             0.52838,            0.024668,           0.0022105,                   0,           0.0014905,           0.0014905,           0.0014905
